Sequence,Domain,Model,ModelType,Class,ClassDescription,Attribute,AttributeDescription,DataType,Context,SubContext,Nulls,IsPK,Relationship,FromClass,FromAttribute,FromCardinality,ToClass,ToAttribute,ToCardinality
69,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",ACCT_NUM,The alphanumeric identifier assigned to the bank account that uniquely identifies it for that given institution.,VARCHAR(30),,,Not Null,No,,,,,,,
70,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",RECORDED_OPEN_DT,"The date on which the bank account was actually opened, or recorded as opened.",TIMESTAMP,,,Null,No,,,,,,,
71,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",RECORDED_CLOSED_DT,"The date on which the bank account was actually closed, or recorded as closed.",TIMESTAMP,,,Null,No,,,,,,,
72,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",BRANCH_NUM,"The local office, or branch, identifier used by the bank to identify that location of the account.",VARCHAR(10),,,Not Null,No,,,,,,,
73,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",BANK_NUM,"A unique identifier for the bank, assigned outside of the system.",VARCHAR(10),,,Not Null,No,,,,,,,
74,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",DEPOSITOR_NAME,The Party's name as printed on a check (the account registration name).,VARCHAR(255),,,Null,No,,,,,,,
75,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
76,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
77,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BANKACCOUNT,"The BANKACCOUNT table is a subtype of the PAYMENTSOURCE table, describing the bank account information used to pay one or more contracts or accounts. This table is used by the following domain. v Party Domain ",LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
78,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,BILLING_SUMMARY_ID,"A unique, system-generated key that identifies a billing summary in the system.",BIGINT,,,Not Null,Yes,,,,,,,
79,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,BILLING_ST_TP_CD,"A unique type code which uniquely defines a billing status value. For example, closed, paid, and so forth.",BIGINT,,,Not Null,No,,,,,,,
80,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,PYMT_MTHD_TP_CD,"A type code which uniquely identifies a payment method value in the system. This represents the next payment method type. Some examples are bank account, charge card, cash, and so forth.",BIGINT,,,Null,No,,,,,,,
81,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,LAST_PY_MD_TP_CD,"A type code which uniquely identifies a payment method value in the system. This represents the last payment method type. Some examples are bank account, charge card, cash, and so forth.",BIGINT,,,Null,No,,,,,,,
82,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,EFFECTIVE_DATE,The date from which this billing summary is effective.,TIMESTAMP,,,Null,No,,,,,,,
83,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,DUE_DATE,The due date for this billing summary.,TIMESTAMP,,,Null,No,,,,,,,
84,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,ACCOUNT_BALANCE,The total outstanding balance.,"DECIMAL(17,3)",,,Not Null,No,,,,,,,
85,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,MIN_PAYMENT,The minimum payment required for this billing summary.,"DECIMAL(17,3)",,,Null,No,,,,,,,
86,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,MAX_PAYMENT,The maximum payment allowed for this billing summary.,"DECIMAL(17,3)",,,Null,No,,,,,,,
87,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,PAID_TO_DATE,The date up to which the account or contract has been paid.,TIMESTAMP,,,Null,No,,,,,,,
88,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,INVOICE_ID,Links this billing summary to an invoice; external to the system.,VARCHAR(50),,,Null,No,,,,,,,
89,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,BILL_FROM_DATE,The start date of the billing period of this billing summary.,TIMESTAMP,,,Null,No,,,,,,,
90,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,BILL_TO_DATE,The end date of the billing period of this billing summary.,TIMESTAMP,,,Null,No,,,,,,,
91,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,ACCOUNT_ID,An account ID is a free form specific means by which the account can be distinguished from all other accounts.,VARCHAR(50),,,Null,No,,,,,,,
92,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,PAYMENT_SOURCE_ID,"A unique, system-generated key that identifies a payment source in the system.",BIGINT,,,Null,No,,,,,,,
93,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,WITHDRAWAL_DATE,The date on which payment will be withdrawn from a payment source for this billing summary.,TIMESTAMP,,,Null,No,,,,,,,
94,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,LAST_PAYMENT_AMT,The amount paid or withdrawn against the last billing summary.,"DECIMAL(17,3)",,,Null,No,,,,,,,
95,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,LAST_PAYMENT_DT,The date when payment was last received.,TIMESTAMP,,,Null,No,,,,,,,
96,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,PAYMENTS_REMAINING,The number of payments remaining.,INTEGER,,,Null,No,,,,,,,
97,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,LAST_UPDATE_DT,"When a record is added or updated, this field is updated with the date and time. On subsequent updates, the system uses this information to ensure that the update request includes a matching date and time on this field; if it does not, the update fails.",TIMESTAMP,,,Not Null,No,,,,,,,
98,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,LAST_UPDATE_USER,The ID of the user who last updated the data.,VARCHAR(20),,,Null,No,,,,,,,
99,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,LAST_UPDATE_TX_ID,"A unique, system-generated key that identifies the specific transaction within the log system that either created, updated, or deleted the data row.",BIGINT,,,Null,No,,,,,,,
100,IBM MDM,IBM MDM Physical Datamodel v11.3_extract_1,Physical,BILLINGSUMMARY,The BILLINGSUMMARY table represents a summary bill for a CONTRACT or a CONTRACTCOMPONENT. This table is used by the following domains. v Account Domain v Party Domain ,FREQ_MODE_TP_CD,"The frequency of the payments made on the contract. For example, monthly or annual.",BIGINT,,,Null,No,,,,,,,
